ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
1	1.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Allegory	1598	Oil on copper, 56 x 47 cm	Alte Pinakothek, Munich	painting	mythological	German	1601-1650	http://www.wga.hu/html/a/aachen/allegory.html
2	2.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Bacchus, Ceres and Cupid	-	Oil on canvas, 163 x 113 cm	Kunsthistorisches Museum, Vienna	painting	mythological	German	1601-1650	http://www.wga.hu/html/a/aachen/bacchus.html
3	3.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Joking Couple	-	Copperplate, 25 x 20 cm	Kunsthistorisches Museum, Vienna	painting	genre	German	1601-1650	http://www.wga.hu/html/a/aachen/j_couple.html
4	4.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Portrait of Emperor Rudolf II	1590s	Oil on canvas, 60 x 48 cm	Kunsthistorisches Museum, Vienna	painting	portrait	German	1601-1650	http://www.wga.hu/html/a/aachen/rudolf2.html
5	5.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Self-Portrait with a Glass of Wine	c. 1596	Oil on canvas, 53 x 44 cm	Private collection	painting	portrait	German	1601-1650	http://www.wga.hu/html/a/aachen/selfport.html
6	6.jpg	AAGAARD, Carl Frederik	(b. 1833, Odense, d. 1895, København)	Deer beside a Lake	1888	Oil on canvas, 53 x 82 cm	Private collection	painting	landscape	Danish	1851-1900	http://www.wga.hu/html/a/aagaard/deerlake.html
7	7.jpg	AAGAARD, Carl Frederik	(b. 1833, Odense, d. 1895, København)	The Rose Garden	1877	Oil on canvas, 98 x 80 cm	Private collection	painting	landscape	Danish	1851-1900	http://www.wga.hu/html/a/aagaard/rosegard.html
8	8.jpg	ABADIA, Juan de la	(active 1470-1490 in Huesca)	The Archangel Michael	c. 1490	Wood, 127 x 78 cm	Museu Nacional d'Art de Catalunya, Barcelona	painting	religious	Spanish	1451-1500	http://www.wga.hu/html/a/abadia/michael.html
9	9.jpg	ABAQUESNE, Masséot	(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)	Albarello	c. 1545	Maiolica	Musée des Beaux-Arts, Rouen	ceramics	other	French	1501-1550	http://www.wga.hu/html/a/abaquesn/albarell.html
10	10.jpg	ABAQUESNE, Masséot	(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)	Ceramic Floor	1542	Ceramics	Musée National de la Renaissance, Écouen	ceramics	other	French	1501-1550	http://www.wga.hu/html/a/abaquesn/floor1.html
11	11.jpg	ABAQUESNE, Masséot	(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)	Ceramic Floor	1557	Ceramics	Musée du Louvre, Paris	ceramics	other	French	1501-1550	http://www.wga.hu/html/a/abaquesn/floor2.html
12	12.jpg	ABAQUESNE, Masséot	(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)	The Flood	-	Ceramic mural composition	Musée National de la Renaissance, Écouen	ceramics	religious	French	1501-1550	http://www.wga.hu/html/a/abaquesn/theflood.html
13	13.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Chimney breast	c. 1552	-	Château, Écouen	painting	other	Italian	1501-1550	http://www.wga.hu/html/a/abbate/chimney1.html
14	14.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Chimney breast	c. 1552	Marble	Château, Écouen	sculpture	other	Italian	1501-1550	http://www.wga.hu/html/a/abbate/chimney2.html
15	15.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Stag Hunt	1550-52	Oil on canvas, 116 x 159 cm	Galleria Borghese, Rome	painting	landscape	Italian	1501-1550	http://www.wga.hu/html/a/abbate/deerhunt.html
16	16.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Orpheus and Eurydice	-	Oil on canvas, 188 x 237 cm	National Gallery, London	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/orpheus.html
17	17.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	The Rape of Proserpine	c. 1570	Oil on canvas, 196 x 220 cm	Musée du Louvre, Paris	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/proserpi.html
18	18.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	The Continence of Scipio	c. 1555	Oil on canvas, 127 x 115 cm	Musée du Louvre, Paris	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/scipio.html
19	19.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Landscape at Castiglioncello	1863	Oil on panel, 10 x 30 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati1.html
20	20.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Country Road with Cypresses	c. 1860	Oil on canvas, 28 x 37 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati2.html
21	21.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Cloister	1861-62	Oil on cardboard, 19 x 25 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati3.html
22	22.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Portrait of a Woman	1865-66	Oil on panel, 26 x 14 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	portrait	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati4.html
23	23.jpg	ABBATINI, Guido Ubaldo	(b. ca. 1602, Città di Castello, d. 1656, Roma)	Gian Lorenzo Bernini's Cornaro Chapel	c. 1650	Oil on canvas, 168 x 120 cm	Staatliches Museum, Schwerin	painting	religious	Italian	1601-1650	http://www.wga.hu/html/a/abbatini/cornaro.html
24	24.jpg	ABEELE, Pieter van	(b. 1608, Middelburg, d. 1684, Amsterdam)	Medal commemorating Charles II embarkation at Scheveningen	1660	Silver, diameter 7 cm	Royal Collection, Windsor	sculpture	historical	Dutch	1601-1650	http://www.wga.hu/html/a/abeele/commemo1.html
25	25.jpg	ABEELE, Pieter van	(b. 1608, Middelburg, d. 1684, Amsterdam)	Commemorative Medal for Admiral Maarten Harpertszoon Tromp	1653	Silver, cast, chased and engraved, diameter 7 cm	Private collection	sculpture	historical	Dutch	1601-1650	http://www.wga.hu/html/a/abeele/commemo2.html
26	26.jpg	ABEELE, Pieter van	(b. 1608, Middelburg, d. 1684, Amsterdam)	William III, Prince of Orange, at the Age of Four	1654	Silver, two cast chased shells soldered together, diameter 7 cm	Metropolitan Museum of Art, New York	sculpture	historical	Dutch	1601-1650	http://www.wga.hu/html/a/abeele/william3.html
27	27.jpg	ABILDGAARD, Nicolai	(b. 1743, København, d. 1809, Frederiksdal)	Culmin's Ghost Appears to his Mother	c. 1794	Oil on canvas, 62 x 78 cm	Nationalmuseum, Stockholm	painting	other	Danish	1751-1800	http://www.wga.hu/html/a/abildgaa/culmingh.html
28	28.jpg	ABILDGAARD, Nicolai	(b. 1743, København, d. 1809, Frederiksdal)	Adam and Eve	1780	Engraving	Nationalmuseum, Stockholm	graphics	religious	Danish	1751-1800	http://www.wga.hu/html/a/abildgaa/z_adamev.html
29	29.jpg	ABONDIO, Antonio	(b. 1538, Riva del Garda, d. 1591, Wien)	Medallion Portrait of Emperor Maximilian II	c. 1575	Wax on obsidian	Kunsthistorisches Museum, Vienna	sculpture	portrait	Italian	1551-1600	http://www.wga.hu/html/a/abondio/maximili.html
30	30.jpg	ACHENBACH, Oswald	(b. 1827, Düsseldorf, d. 1905, Düsseldorf)	Fireworks in Naples	1875	Oil on canvas, 66 x 102 cm	The Hermitage, St. Petersburg	painting	landscape	German	1851-1900	http://www.wga.hu/html/a/achenbac/firework.html
31	31.jpg	ADAM, Albrecht	(b. 1786, Nördlingen, d. 1862, München)	Battle of Moscow on 7 September 1812	1815-25	Oil and gouache on paper, 21 x 30 cm	The Hermitage, St. Petersburg	painting	historical	German	1801-1850	http://www.wga.hu/html/a/adam1/battle.html
32	32.jpg	ADAM, Albrecht	(b. 1786, Nördlingen, d. 1862, München)	The Return from the Hunt	1828	Oil on canvas, 69 x 101 cm	Private collection	painting	genre	German	1801-1850	http://www.wga.hu/html/a/adam1/hunt.html
33	33.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Child Pinched by a Lobster	c. 1740	Bronze, height 25,5 cm	Institute of Arts, Detroit	sculpture	other	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/child_lo.html
34	34.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Neptune and Amphitrite	1740 (completed)	Lead	Bassin de Naptune, Versailles	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/neptune.html
35	35.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Neptune Calming the Waves	1737	Marble	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/neptune1.html
36	36.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Self-portrait	c. 1740	Drawing	Ashmolean Museum, Oxford	graphics	portrait	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/selfport.html
37	37.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Head of 'Water'	1737	Terracotta	The Hermitage, St. Petersburg	sculpture	other	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/water.html
38	38.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	The Martyrdom of Sainte Victoire	1747	Bronze	Chapel of Château, Versailles	sculpture	religious	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/martyrdo.html
39	39.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monument to Queen Catharina Opalinska	1749	Marble	Notre-Dame de Bon Secours, Nancy	sculpture	religious	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/opalinsk.html
40	40.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monument to Queen Catharina Opalinska (detail)	1749 (set up)	Marble	Notre-Dame de Bon Secours, Nancy	sculpture	religious	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/opalinsx.html
41	41.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Prometheus	1737	Marble, height 115 cm	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/promethe.html
42	42.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Prometheus	1737	Marble, height 115 cm	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/promethx.html
43	43.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn	1742-45	Marble, height 177 cm	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase.html
44	44.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn (detail)	1742-45	Marble	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase1.html
45	45.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn (detail)	1742-45	Marble	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase2.html
46	46.jpg	ADAM, Robert	(b. 1728, Kirkcaldy, d. 1792, London)	Exterior view	1760s	Photo	Kedleston Hall, Derbyshire	architecture	other	Scottish	1751-1800	http://www.wga.hu/html/a/adam2/kedlesto.html
47	47.jpg	ADAM, Robert	(b. 1728, Kirkcaldy, d. 1792, London)	Interior view	1763-64	Photo	Syon House, Middlesex	architecture	interior	Scottish	1751-1800	http://www.wga.hu/html/a/adam2/syon1.html
48	48.jpg	ADAM, Robert	(b. 1728, Kirkcaldy, d. 1792, London)	Interior view	1763-64	Photo	Syon House, Middlesex	architecture	interior	Scottish	1751-1800	http://www.wga.hu/html/a/adam2/syon2.html
49	49.jpg	ADAM, Robert	(b. 1728, Kirkcaldy, d. 1792, London)	Interior view	1763-64	Photo	Syon House, Middlesex	architecture	interior	Scottish	1751-1800	http://www.wga.hu/html/a/adam2/syon3.html
50	50.jpg	ADAM-SALOMON, Antoine-Samuel	(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)	Bust of Isaac Péreire	-	White marble, height 77 cm	Private collection	sculpture	portrait	French	1851-1900	http://www.wga.hu/html/a/adam-sal/pereire.html
