K,C,gamma,accuracy,tiempo,precision_macro,recall_macro,f1_macro,precision_Art_Nouveau,recall_Art_Nouveau,f1_Art_Nouveau,precision_Baroque,recall_Baroque,f1_Baroque,precision_Expressionism,recall_Expressionism,f1_Expressionism,precision_Japanese_Art,recall_Japanese_Art,f1_Japanese_Art,precision_Neoclassicism,recall_Neoclassicism,f1_Neoclassicism,precision_Realism,recall_Realism,f1_Realism,precision_Renaissance,recall_Renaissance,f1_Renaissance,precision_Rococo,recall_Rococo,f1_Rococo,precision_Romanticism,recall_Romanticism,f1_Romanticism,conf_Art_Nouveau_to_Art_Nouveau,conf_Art_Nouveau_to_Baroque,conf_Art_Nouveau_to_Expressionism,conf_Art_Nouveau_to_Japanese_Art,conf_Art_Nouveau_to_Neoclassicism,conf_Art_Nouveau_to_Realism,conf_Art_Nouveau_to_Renaissance,conf_Art_Nouveau_to_Rococo,conf_Art_Nouveau_to_Romanticism,conf_Baroque_to_Art_Nouveau,conf_Baroque_to_Baroque,conf_Baroque_to_Expressionism,conf_Baroque_to_Japanese_Art,conf_Baroque_to_Neoclassicism,conf_Baroque_to_Realism,conf_Baroque_to_Renaissance,conf_Baroque_to_Rococo,conf_Baroque_to_Romanticism,conf_Expressionism_to_Art_Nouveau,conf_Expressionism_to_Baroque,conf_Expressionism_to_Expressionism,conf_Expressionism_to_Japanese_Art,conf_Expressionism_to_Neoclassicism,conf_Expressionism_to_Realism,conf_Expressionism_to_Renaissance,conf_Expressionism_to_Rococo,conf_Expressionism_to_Romanticism,conf_Japanese_Art_to_Art_Nouveau,conf_Japanese_Art_to_Baroque,conf_Japanese_Art_to_Expressionism,conf_Japanese_Art_to_Japanese_Art,conf_Japanese_Art_to_Neoclassicism,conf_Japanese_Art_to_Realism,conf_Japanese_Art_to_Renaissance,conf_Japanese_Art_to_Rococo,conf_Japanese_Art_to_Romanticism,conf_Neoclassicism_to_Art_Nouveau,conf_Neoclassicism_to_Baroque,conf_Neoclassicism_to_Expressionism,conf_Neoclassicism_to_Japanese_Art,conf_Neoclassicism_to_Neoclassicism,conf_Neoclassicism_to_Realism,conf_Neoclassicism_to_Renaissance,conf_Neoclassicism_to_Rococo,conf_Neoclassicism_to_Romanticism,conf_Realism_to_Art_Nouveau,conf_Realism_to_Baroque,conf_Realism_to_Expressionism,conf_Realism_to_Japanese_Art,conf_Realism_to_Neoclassicism,conf_Realism_to_Realism,conf_Realism_to_Renaissance,conf_Realism_to_Rococo,conf_Realism_to_Romanticism,conf_Renaissance_to_Art_Nouveau,conf_Renaissance_to_Baroque,conf_Renaissance_to_Expressionism,conf_Renaissance_to_Japanese_Art,conf_Renaissance_to_Neoclassicism,conf_Renaissance_to_Realism,conf_Renaissance_to_Renaissance,conf_Renaissance_to_Rococo,conf_Renaissance_to_Romanticism,conf_Rococo_to_Art_Nouveau,conf_Rococo_to_Baroque,conf_Rococo_to_Expressionism,conf_Rococo_to_Japanese_Art,conf_Rococo_to_Neoclassicism,conf_Rococo_to_Realism,conf_Rococo_to_Renaissance,conf_Rococo_to_Rococo,conf_Rococo_to_Romanticism,conf_Romanticism_to_Art_Nouveau,conf_Romanticism_to_Baroque,conf_Romanticism_to_Expressionism,conf_Romanticism_to_Japanese_Art,conf_Romanticism_to_Neoclassicism,conf_Romanticism_to_Realism,conf_Romanticism_to_Renaissance,conf_Romanticism_to_Rococo,conf_Romanticism_to_Romanticism
500,1,1.6793804087857067,0.5426219870664315,55.133052825927734,0.5476963564465892,0.5426219870664315,0.5436840226090175,0.5364583333333334,0.544973544973545,0.5406824146981627,0.45742092457420924,0.4973544973544973,0.47655259822560203,0.5974358974358974,0.6164021164021164,0.6067708333333334,0.6896551724137931,0.6349206349206349,0.6611570247933884,0.6813880126182965,0.5714285714285714,0.6215827338129496,0.4844124700239808,0.5343915343915344,0.5081761006289308,0.46736292428198434,0.47354497354497355,0.4704336399474376,0.5104895104895105,0.5793650793650794,0.5427509293680297,0.5046439628482973,0.4312169312169312,0.46504992867332384,206,7,36,39,25,20,22,7,16,9,188,10,3,17,31,40,67,13,25,11,233,16,6,23,43,7,14,47,6,27,240,13,13,15,2,15,29,28,10,8,216,12,11,47,17,10,35,18,12,13,202,15,26,47,30,46,34,20,6,24,179,24,15,9,62,5,6,9,17,28,219,23,19,28,17,4,12,75,30,30,163
500,1,1.0,0.5270429159318049,54.19984841346741,0.5337670580095166,0.5270429159318049,0.5287659351317957,0.5267379679144385,0.5211640211640212,0.523936170212766,0.4215456674473068,0.47619047619047616,0.4472049689440994,0.597911227154047,0.6058201058201058,0.6018396846254928,0.6891495601173021,0.6216931216931217,0.6536856745479833,0.6593059936908517,0.5529100529100529,0.6014388489208633,0.48095238095238096,0.5343915343915344,0.506265664160401,0.4306930693069307,0.4603174603174603,0.44501278772378516,0.49760765550239233,0.5502645502645502,0.5226130653266332,0.5,0.42063492063492064,0.45689655172413796,197,8,35,38,31,20,27,6,16,10,180,12,4,16,34,39,68,15,20,12,229,18,8,21,49,7,14,47,8,28,235,13,13,17,2,15,29,34,7,9,209,14,15,45,16,13,38,15,11,13,202,15,26,45,29,51,35,18,5,24,174,27,15,10,70,5,5,7,19,31,208,23,19,26,17,3,15,73,37,29,159
500,1,2.0,0.548206937095826,60.234447956085205,0.5531334989450535,0.548206937095826,0.5493026204250419,0.5535248041775457,0.5608465608465608,0.557161629434954,0.458128078817734,0.49206349206349204,0.4744897959183674,0.6,0.6190476190476191,0.609375,0.6934097421203438,0.6402116402116402,0.6657496561210454,0.6865203761755486,0.5793650793650794,0.6284074605451937,0.49029126213592233,0.5343915343915344,0.5113924050632911,0.47668393782383417,0.48677248677248675,0.4816753926701571,0.5104408352668214,0.582010582010582,0.5438813349814586,0.50920245398773,0.43915343915343913,0.4715909090909091,212,6,34,38,22,20,22,8,16,9,186,10,3,17,31,40,68,14,24,11,234,17,6,21,42,8,15,45,6,27,242,15,12,15,1,15,25,29,11,9,219,12,10,46,17,10,34,18,11,13,202,15,26,49,31,44,33,19,6,25,184,24,12,8,64,5,7,9,16,27,220,22,19,26,18,3,12,73,31,30,166
500,1,3.0,0.5517342739564962,72.0152587890625,0.5568393791440741,0.5517342739564961,0.5525902522408171,0.531328320802005,0.5608465608465608,0.5456885456885456,0.4708860759493671,0.49206349206349204,0.48124191461837,0.6067708333333334,0.6164021164021164,0.6115485564304461,0.6786703601108033,0.6481481481481481,0.6630581867388363,0.7087378640776699,0.5793650793650794,0.6375545851528385,0.49523809523809526,0.5502645502645502,0.5213032581453634,0.48704663212435234,0.4973544973544973,0.49214659685863876,0.5138888888888888,0.5873015873015873,0.5481481481481482,0.5189873417721519,0.43386243386243384,0.47262247838616717,212,5,31,42,23,21,21,7,16,12,186,13,2,13,33,37,68,14,29,11,233,19,5,20,41,8,12,50,7,22,245,12,11,16,2,13,24,28,11,9,219,14,14,43,16,8,33,19,12,13,208,13,25,47,29,42,33,19,4,24,188,26,13,11,60,5,8,9,16,26,222,21,24,23,17,5,11,73,30,31,164
500,10,1.6793804087857067,0.5617283950617284,82.47389245033264,0.5620817977517938,0.5617283950617283,0.5614121238436566,0.5454545454545454,0.5714285714285714,0.5581395348837209,0.4675324675324675,0.47619047619047616,0.47182175622542594,0.5951219512195122,0.6455026455026455,0.6192893401015228,0.6943699731903485,0.6851851851851852,0.6897470039946738,0.6507042253521127,0.6111111111111112,0.6302864938608458,0.5037974683544304,0.5264550264550265,0.5148771021992238,0.5433526011560693,0.4973544973544973,0.5193370165745856,0.5569620253164557,0.582010582010582,0.5692108667529108,0.5014409221902018,0.4603174603174603,0.48,216,10,33,43,21,16,15,3,21,12,180,15,3,27,35,33,57,16,23,12,244,21,8,21,27,6,16,51,2,23,259,9,10,7,1,16,22,29,9,8,231,13,13,36,17,12,30,29,7,15,199,9,24,53,30,41,31,18,10,25,188,19,16,6,59,9,7,21,15,23,220,18,24,22,17,7,13,61,31,29,174
500,10,1.0,0.5502645502645502,70.20649361610413,0.5505114183563691,0.5502645502645502,0.5498699239424032,0.5438144329896907,0.5582010582010583,0.5509138381201044,0.44529262086513993,0.46296296296296297,0.45395590142671854,0.5704057279236276,0.6322751322751323,0.5997490589711418,0.6866485013623979,0.6666666666666666,0.676510067114094,0.6294277929155313,0.6111111111111112,0.6201342281879194,0.5075757575757576,0.5317460317460317,0.5193798449612403,0.5251396648044693,0.4973544973544973,0.5108695652173914,0.5538057742782152,0.5582010582010583,0.5559947299077734,0.4924924924924925,0.43386243386243384,0.4613220815752461,211,10,33,44,26,15,17,3,19,13,175,16,3,31,31,37,55,17,25,12,239,19,10,22,30,7,14,49,6,29,252,8,12,7,1,14,21,29,13,9,231,17,11,32,15,13,31,27,9,13,201,10,25,49,26,46,34,16,10,22,188,18,18,7,61,8,7,24,13,24,211,23,23,23,20,8,14,63,34,29,164
500,10,2.0,0.564373897707231,82.92516613006592,0.5653404507413845,0.5643738977072311,0.5643428256042651,0.5482233502538071,0.5714285714285714,0.5595854922279793,0.4720812182741117,0.49206349206349204,0.48186528497409326,0.5985221674876847,0.6428571428571429,0.6198979591836735,0.6943699731903485,0.6851851851851852,0.6897470039946738,0.6714697406340058,0.6164021164021164,0.6427586206896552,0.5,0.5211640211640212,0.5103626943005182,0.5380281690140845,0.5052910052910053,0.5211459754433834,0.5580808080808081,0.5846560846560847,0.5710594315245479,0.5072886297376094,0.4603174603174603,0.4826629680998613,216,8,33,42,20,17,17,3,22,11,186,15,3,26,35,34,54,14,26,10,243,21,6,22,29,6,15,52,2,21,259,9,11,7,1,16,20,30,9,9,233,12,12,37,16,12,34,29,8,12,197,11,24,51,28,40,33,19,8,24,191,19,16,5,62,8,6,19,13,25,221,19,24,22,15,6,14,63,29,31,174
500,10,3.0,0.5784832451499118,92.0539984703064,0.5802476226682353,0.5784832451499118,0.5785780267388421,0.5681818181818182,0.5952380952380952,0.5813953488372093,0.4898989898989899,0.5132275132275133,0.5012919896640827,0.6163366336633663,0.6587301587301587,0.6368286445012787,0.7002652519893899,0.6984126984126984,0.6993377483443709,0.7090909090909091,0.6190476190476191,0.6610169491525424,0.5112781954887218,0.5396825396825397,0.525096525096525,0.5380281690140845,0.5052910052910053,0.5211459754433834,0.56575682382134,0.6031746031746031,0.5838668373879642,0.5233918128654971,0.47354497354497355,0.49722222222222223,225,7,33,40,18,15,14,5,21,10,194,13,4,18,38,33,53,15,21,9,249,20,5,22,35,7,10,47,6,22,264,8,12,5,1,13,23,28,10,11,234,10,11,35,16,9,33,23,8,15,204,11,24,51,30,41,33,18,7,23,191,19,16,9,59,6,5,12,12,26,228,21,22,19,15,7,13,63,29,31,179
500,100,1.6793804087857067,0.5614344503233392,82.33454847335815,0.5616852725719185,0.5614344503233393,0.5610814091107077,0.5468354430379747,0.5714285714285714,0.5588615782664942,0.4661458333333333,0.47354497354497355,0.46981627296587924,0.5936739659367397,0.6455026455026455,0.6185044359949303,0.6943699731903485,0.6851851851851852,0.6897470039946738,0.648876404494382,0.6111111111111112,0.6294277929155313,0.5050761421319797,0.5264550264550265,0.5155440414507773,0.5417867435158501,0.4973544973544973,0.5186206896551724,0.5569620253164557,0.582010582010582,0.5692108667529108,0.5014409221902018,0.4603174603174603,0.48,216,10,33,43,21,16,15,3,21,12,179,15,3,27,35,34,57,16,23,12,244,21,8,21,27,6,16,51,2,23,259,9,10,7,1,16,22,29,9,8,231,13,13,36,17,12,30,29,7,15,199,9,24,53,29,41,32,18,10,25,188,19,16,6,59,9,7,21,15,23,220,18,24,22,17,7,14,60,31,29,174
500,100,1.0,0.541740152851264,73.25861096382141,0.5417866716849675,0.541740152851264,0.541246586174718,0.5240506329113924,0.5476190476190477,0.535575679172057,0.4296675191815857,0.4444444444444444,0.43693107932379716,0.569047619047619,0.6322751322751323,0.5989974937343359,0.6840659340659341,0.6587301587301587,0.6711590296495957,0.5958005249343832,0.6005291005291006,0.5981554677206851,0.5077319587628866,0.5211640211640212,0.5143603133159269,0.5333333333333333,0.48677248677248675,0.5089903181189488,0.5543766578249337,0.5529100529100529,0.5536423841059602,0.4780058651026393,0.4312169312169312,0.4534075104311544,207,12,37,43,28,12,16,3,20,13,168,14,3,33,34,37,57,19,24,13,239,19,9,24,29,6,15,53,6,28,249,8,10,7,1,16,24,26,11,11,227,15,13,35,16,13,31,26,9,15,197,9,24,54,29,43,33,15,16,22,184,18,18,7,60,9,7,30,15,21,209,20,25,32,23,8,15,59,29,24,163
